experiment_sub	experiment_pair	experiment_group	aggregated_impressions_28d	aggregated_clicks_28d	shopify:Handle	shopify:Title	shopify:Type	shopify:Product Category	shopify:Tags	shopify:Variant SKU	shopify:Variant Price	shopify:Variant Compare At Price	shopify:SEO Title	shopify:SEO Description	shopify:Body (HTML)	shopify:Status	gmc:title	gmc:id	gmc:google product category	gmc:product type	gmc:description	gmc:color	gmc:condition	gmc:size	gmc:brand	gmc:availability	gmc:price	gmc:sale price	gmc:feed label	gmc:image link	gmc:modification info(modification source:modifier)	gmc:product detail(attribute name:attribute value:section name)	gmc:all clicks	gmc:shipping weight	gmc:sku
main	6	CONTROL	178	1	m-hull-basket-in-red-earth-ultra-suede-copy	(M) Hull Basket in Red Earth Ultra suede		Home & Garden > Decor > Baskets		30020red	168.00	225.00			<p><span>Transform your space with our handcrafted storage baskets that bring sophisticated organization to your bedroom, living room, or entryway. Each basket is meticulously crafted by hand, creating a unique accent piece that serves both functional and aesthetic purposes. Perfect for shelves or floor placement, these versatile baskets elevate your home's style while keeping your space beautifully organized.</span></p>	active	(M) Hull Basket in Red Earth Ultra suede	shopify_US_8502535356571_46613169209499	home & garden > decor > baskets		Transform your space with our handcrafted storage baskets that bring sophisticated organization to your bedroom, living room, or entryway. Each basket is meticulously crafted by hand, creating a unique accent piece that serves both functional and aesthetic purposes. Perfect for shelves or floor placement, these versatile baskets elevate your home's style while keeping your space beautifully organized.				knots studio	in stock	195.00 USD	165.00 USD	US	https://cdn.shopify.com/s/files/1/1129/5340/files/Photoroom_20250710_140711.png?v=1752336191	third party shopify:third party syncing		1	1 kg	30020red
main	6	TEST	130	0	m-hull-basket-in-cream-vegan-suede	(M) Hull Basket in Stone Ultra suede		Home & Garden > Decor > Baskets		30020stn	168.00	225.00			<p>Our Hull baskets collection, designed with inspiration from boat construction, adds a sophisticated touch to your kitchen, bath, or entryway organization. These unique baskets, crafted by our skilled team, serve as a functional and attractive accent piece for shelves or floors.</p>	active	(M) Hull Basket in Stone Ultra suede	shopify_US_7659829297307_43380510097563	home & garden > decor > baskets		Our Hull baskets collection, designed with inspiration from boat construction, adds a sophisticated touch to your kitchen, bath, or entryway organization. These unique baskets, crafted by our skilled team, serve as a functional and attractive accent piece for shelves or floors.				Knots Studio	in stock	195.00 USD	146.00 USD	US	https://cdn.shopify.com/s/files/1/1129/5340/files/Photoroom_20250713_183751.png?v=1752421133	third party shopify:third party syncing		0	1 kg	30020stn
main	7	CONTROL	751	0	m-mauve-knot-floor-cushion-new	(M) Mauve Knot Ottoman	Medium Knot Cushion	Home & Garden > Decor > Ottoman Cushions	floor cushion, floor cushions, floor pillow, floor pillows, pouf, pouf_ottoman, velvet	10020Mve	401.00	535.00		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	"<p> </p>
<p><span>Rich, luxe and always elegant, velvet is our new favourite thing.</span><span> </span><span>A</span><span>dd a slice of style to your home with the help of our gorgeously knot floor cushions.</span><span> </span>These floor cushions are beautiful and functional. The wooden rings, that tie the cushion together are hand made by our wonderful wood turner.<span><strong></strong></span></p>"	active	(M) Mauve Knot Ottoman	shopify_US_8483278225563_46361435832475	home & garden > decor > ottoman cushions	Medium Knot Cushion	This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun				knots studio	in stock	495.00 USD	445.00 USD	US	https://cdn.shopify.com/s/files/1/1129/5340/files/2V8A7609_46f518bf-741c-4035-84b0-e75ce5e3981d.jpg?v=1746883820	third party shopify:third party syncing		0	4 kg	10020Mve
main	7	TEST	897	3	m-burgandy-knot-floor-cushion-new	(M) Burgundy Knot Ottoman	Medium knot cushion	Home & Garden > Decor > Ottoman Cushions	floor cushion, floor cushions, floor pillow, floor pillows, pouf, pouf_ottoman, velvet	10020Brg	401.00	535.00		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	"<p> </p>
<p><span>Rich, luxe and always elegant, velvet is our new favourite thing.</span><span> </span><span>A</span><span>dd a slice of style to your home with the help of our gorgeously knot floor cushions.</span><span> </span>These floor cushions are beautiful and functional. The wooden rings, that tie the cushion together are hand made by our wonderful wood turner.<span><strong></strong></span></p>"	active	(M) Burgundy Knot Ottoman	shopify_US_8483266134171_46361361612955	home & garden > decor > ottoman cushions	Medium knot cushion	This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun				knots studio	in stock	495.00 USD	445.00 USD	US	https://cdn.shopify.com/s/files/1/1129/5340/files/burg_m.jpg?v=1746879762	third party shopify:third party syncing		1	4 kg	10020Brg
main	8	CONTROL	1082	1	m-petrol-knot-floor-cushion-new	(M) Petrol Knot Ottoman	Medium knot cushion	Home & Garden > Decor > Ottoman Cushions	floor cushion, floor cushions, floor pillow, floor pillows, pouf, pouf_ottoman, velvet	10020Ptr	401.00	535.00		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	"<p> </p>
<p><span>Rich, luxe and always elegant, velvet is our new favorite thing.</span><span> </span><span>A</span><span>dd a slice of style to your home with the help of our gorgeously knot floor cushions.</span><span> </span>These floor cushions are beautiful and functional. The wooden rings, that tie the cushion together are hand made by our wonderful wood turner.<span><strong></strong></span></p>"	active	(M) Petrol Knot Ottoman	shopify_US_8483267051675_46361365577883	home & garden > decor > ottoman cushions	Medium knot cushion	This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun				knots studio	in stock	495.00 USD	445.00 USD	USD_649363611	https://cdn.shopify.com/s/files/1/1129/5340/files/petrol_m2.jpg?v=1754771957	third party shopify:third party syncing		0	4 kg	10020Ptr
main	8	TEST	943	5	m-ivory-knot-floor-cushion-new-copy	(M) Ivory Knot Ottoman	Medium knot cushion	Home & Garden > Decor > Ottoman Cushions	floor cushion, floor cushions, floor pillow, floor pillows, pouf, pouf_ottoman, velvet	10020Ivr	401.00	535.00		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	"<p> </p>
<p><span>Rich, luxe and always elegant, velvet is our new favourite thing.</span><span> </span><span>A</span><span>dd a slice of style to your home with the help of our gorgeously knot floor cushions.</span><span> </span>These floor cushions are beautiful and functional. The wooden rings, that tie the cushion together are hand made by our wonderful wood turner.<span><strong></strong></span></p>"	active	(M) Ivory Knot Ottoman	shopify_US_8483267346587_46361366757531	home & garden > decor > ottoman cushions	Medium knot cushion	This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun				knots studio	in stock	401.00 USD		USD_649363611	https://cdn.shopify.com/s/files/1/1129/5340/files/IVORYL2.jpg?v=1746873470	third party shopify:third party syncing		2	4 kg	10020Ivr
main	9	CONTROL	4480	28	burgandy-velvet-woven-bench	Burgundy Velvet Woven Bench	Woven bench	Furniture > Benches		20037Brg	671.00	895.00		"Born of appreciation for elegance, the weaved bench is a handmade piece that brings a sculptural, playful air to any entryway or living space.

Each bench is crafted with care using a weaving technique that blends fine velvet fabric and natural Beechwood that is beautiful, functional and lasts for years."	"<p>The woven bench is a meticulously crafted piece that adds a playful yet sophisticated touch to any entryway or living area. Using a unique weaving technique, this handmade bench combines soft velvet fabric and durable Beechwood for both aesthetic and functional value that will endure for years to come.<strong data-mce-fragment=""1""></strong></p>"	active	"Burgundy Velvet Woven Bench 47"""	shopify_US_8489417146523_46392745459867	furniture > benches	Woven bench	"Born of appreciation for elegance, the weaved bench is a handmade piece that brings a sculptural, playful air to any entryway or living space.

Each bench is crafted with care using a weaving technique that blends fine velvet fabric and natural Beechwood that is beautiful, functional and lasts for years."			"47"""	Knots Studio	in stock	995.00 USD	896.00 USD	US	https://cdn.shopify.com/s/files/1/1129/5340/files/burgandy_bench2.jpg?v=1747527390	third party shopify:third party syncing	"size:""47"""""":Variant"	22	9 kg	20047Brg
main	9	TEST	4741	32	mauve-velvet-woven-bench-1	Mauve Velvet Woven Bench	Woven bench	Furniture > Benches		20037Mve	671.00	895.00		"Born of appreciation for elegance, the weaved bench is a handmade piece that brings a sculptural, playful air to any entryway or living space.

Each bench is crafted with care using a weaving technique that blends fine velvet fabric and natural Beechwood that is beautiful, functional and lasts for years."	"<p>The woven bench is a meticulously crafted piece that adds a playful yet sophisticated touch to any entryway or living area. Using a unique weaving technique, this handmade bench combines soft velvet fabric and durable Beechwood for both aesthetic and functional value that will endure for years to come.<strong data-mce-fragment=""1""></strong></p>"	active	"Mauve Velvet Woven Bench 47"""	shopify_US_8489418391707_46392756404379	furniture > benches	Woven bench	"Born of appreciation for elegance, the weaved bench is a handmade piece that brings a sculptural, playful air to any entryway or living space.

Each bench is crafted with care using a weaving technique that blends fine velvet fabric and natural Beechwood that is beautiful, functional and lasts for years."			"47"""	Knots Studio	in stock	995.00 USD	896.00 USD	US	https://cdn.shopify.com/s/files/1/1129/5340/files/mauve_bench.jpg?v=1747525433	third party shopify:third party syncing	"size:""47"""""":Variant"	0	9 kg	20047Mve
main	10	CONTROL	43	0	mauve-velvet-woven-stool-1	Mauve Velvet Woven Stool	Woven stool	Furniture > Chairs		20017Mve	363.00	485.00		Expertly crafted with a blend of fine velvet fabric and natural Beechwood, the hand-woven stool enhances any entryway or living space with its elegant and playful design. This lasting piece combines beauty and functionality, creating a stunning addition to your home.	"<p>Expertly crafted with a blend of fine velvet fabric and natural Beechwood, the hand-woven stool enhances any entryway or living space with its elegant and playful design. This lasting piece combines beauty and functionality, creating a stunning addition to your home.<strong data-mce-fragment=""1""></strong></p>"	active	Mauve Velvet Woven Stool	shopify_US_8489403154587_46392679399579	furniture > chairs	Woven stool	Expertly crafted with a blend of fine velvet fabric and natural Beechwood, the hand-woven stool enhances any entryway or living space with its elegant and playful design. This lasting piece combines beauty and functionality, creating a stunning addition to your home.				Knots Studio	in stock	465.00 USD	418.00 USD	USD_649363611	https://cdn.shopify.com/s/files/1/1129/5340/files/mauvestools2.jpg?v=1770899152	third party shopify:third party syncing		0	4 kg	20017Mve
main	10	TEST	28	0	ivory-velvet-woven-stool-copy	Petrol Velvet Woven Stool	Woven stool	Furniture > Chairs		20017Ptr	363.00	485.00		Expertly crafted with a blend of fine velvet fabric and natural Beechwood, the hand-woven stool enhances any entryway or living space with its elegant and playful design. This lasting piece combines beauty and functionality, creating a stunning addition to your home.	"<p>Expertly crafted with a blend of fine velvet fabric and natural Beechwood, the hand-woven stool enhances any entryway or living space with its elegant and playful design. This lasting piece combines beauty and functionality, creating a stunning addition to your home.<strong data-mce-fragment=""1""></strong></p>"	active	Petrol Velvet Woven Stool	shopify_US_8489399812251_46392670650523	furniture > chairs	Woven stool	Expertly crafted with a blend of fine velvet fabric and natural Beechwood, the hand-woven stool enhances any entryway or living space with its elegant and playful design. This lasting piece combines beauty and functionality, creating a stunning addition to your home.				Knots Studio	in stock	465.00 USD	418.00 USD	US	https://cdn.shopify.com/s/files/1/1129/5340/files/petrol1.jpg?v=1747513785	third party shopify:third party syncing		0	4 kg	20017Ptr
main	11	CONTROL	235	0	citron-velvet-woven-stool	Citron Velvet Woven Stool	Woven stool	Furniture > Chairs > Table & Bar Stools		20017Cit	363.00	485.00		Expertly crafted with a blend of fine velvet fabric and natural Beechwood, the hand-woven stool enhances any entryway or living space with its elegant and playful design. This lasting piece combines beauty and functionality, creating a stunning addition to your home.	"<p>Expertly crafted with a blend of fine velvet fabric and natural Beechwood, the hand-woven stool enhances any entryway or living space with its elegant and playful design. This lasting piece combines beauty and functionality, creating a stunning addition to your home.<strong data-mce-fragment=""1""></strong></p>"	active	Citron Velvet Woven Stool	shopify_US_8175959900315_45184388923547	furniture > chairs > table & bar stools	Woven stool	Expertly crafted with a blend of fine velvet fabric and natural Beechwood, the hand-woven stool enhances any entryway or living space with its elegant and playful design. This lasting piece combines beauty and functionality, creating a stunning addition to your home.				Knots Studio	in stock	485.00 USD	363.00 USD	USD_649363611	https://cdn.shopify.com/s/files/1/1129/5340/files/citron_stool.jpg?v=1773168585	third party shopify:third party syncing		0	4 kg	20017Cit
main	11	TEST	276	0	burgundy-cherry-woven-stool	Burgundy Woven Stool	Woven stool	Furniture > Chairs		20017Brg	363.00	485.00		Expertly crafted with a blend of fine velvet fabric and natural Beechwood, the hand-woven stool enhances any entryway or living space with its elegant and playful design. This lasting piece combines beauty and functionality, creating a stunning addition to your home.	"<p>Expertly crafted with a blend of fine velvet fabric and natural Beechwood, the hand-woven stool enhances any entryway or living space with its elegant and playful design. This lasting piece combines beauty and functionality, creating a stunning addition to your home.<strong data-mce-fragment=""1""></strong></p>"	active	Burgundy Woven Stool	shopify_US_8489387983003_46392635130011	furniture > chairs	Woven stool	Expertly crafted with a blend of fine velvet fabric and natural Beechwood, the hand-woven stool enhances any entryway or living space with its elegant and playful design. This lasting piece combines beauty and functionality, creating a stunning addition to your home.				Knots Studio	in stock	465.00 USD	418.00 USD	US	https://cdn.shopify.com/s/files/1/1129/5340/files/stoolburgandy.jpg?v=1754773132	third party shopify:third party syncing		0	4 kg	20017Brg
main	12	CONTROL	3865	27	l-citron-knot-floor-cushion-new	(L) Citron Knot Ottoman	Large knot cushion	Home & Garden > Decor > Ottoman Cushions	floor cushion, floor cushions, floor pillow, floor pillows, pouf, pouf_ottoman, velvet	10030Cit	559.00	746.00		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	"<p class=""whitespace-normal break-words"">The Knot Ottoman combines exceptional comfort with striking visual appeal. Its unique sculptural design serves as both functional seating and an eye-catching conversation piece that transforms any space. Perfect for extra seating or filling that tricky spot in your home, this versatile piece effortlessly blends form and function. Your guests won't be able to ignore its artistic beauty and inviting comfort—making it an unforgettable addition to any room.</p>"	active	(L) Citron Knot Ottoman	shopify_US_8483246538907_46361291358363	home & garden > decor > ottoman cushions	Large knot cushion	This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun				knots studio	in stock	698.00 USD	625.00 USD	USD_649363611	https://cdn.shopify.com/s/files/1/1129/5340/files/cit2.jpg?v=1762443522	third party shopify:third party syncing		0	8 kg	10030Cit
main	12	TEST	3859	17	l-ivory-knot-floor-cushion-new	(L) Ivory Knot Ottoman	Large knot cushion	Home & Garden > Decor > Ottoman Cushions	floor cushion, floor cushions, floor pillow, floor pillows, pouf, pouf_ottoman, velvet	10030Ivr	559.00	746.00		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	"<p class=""whitespace-normal break-words"">The Knot Ottoman combines exceptional comfort with striking visual appeal. Its unique sculptural design serves as both functional seating and an eye-catching conversation piece that transforms any space. Perfect for extra seating or filling that tricky spot in your home, this versatile piece effortlessly blends form and function. Your guests won't be able to ignore its artistic beauty and inviting comfort—making it an unforgettable addition to any room.</p>"	active	(L) Ivory Knot Ottoman	shopify_US_8483249127579_46361305743515	home & garden > decor > ottoman cushions	Large knot cushion	This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun				knots studio	in stock	698.00 USD	625.00 USD	US	https://cdn.shopify.com/s/files/1/1129/5340/files/IVORYL2.jpg?v=1746873470	third party shopify:third party syncing		17	8 kg	10030Ivr
main	13	CONTROL	4621	72	l-sterling-silver-knot-floor-cushion-new	(L) Sterling Silver Knot Ottoman	Large knot cushion	Home & Garden > Decor > Ottoman Cushions	floor cushion, floor cushions, floor pillow, floor pillows, pouf, pouf_ottoman, velvet	10030Gry	559.00	746.00		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	"<p class=""whitespace-normal break-words"">The Knot Ottoman combines exceptional comfort with striking visual appeal. Its unique sculptural design serves as both functional seating and an eye-catching conversation piece that transforms any space. Perfect for extra seating or filling that tricky spot in your home, this versatile piece effortlessly blends form and function. Your guests won't be able to ignore its artistic beauty and inviting comfort—making it an unforgettable addition to any room.</p>"	active	(L) Sterling Silver Knot Ottoman	shopify_US_8483262365851_46361339199643	home & garden > decor > ottoman cushions	Large knot cushion	This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun				knots studio	in stock	698.00 USD	625.00 USD	USD_649363611	https://cdn.shopify.com/s/files/1/1129/5340/files/C0B7AD8A-019F-4CED-B5EC-991CF7391051.png?v=1754766660	third party shopify:third party syncing		0	8 kg	10030Gry
main	13	TEST	5530	21	l-mauve-knot-floor-cushion-new	(L) Mauve Knot Ottoman	Large knot cushion	Home & Garden > Decor > Ottoman Cushions	floor cushion, floor cushions, floor pillow, floor pillows, pouf, pouf_ottoman, velvet	10030Mve	559.00	746.00		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	"<p class=""whitespace-normal break-words"">The Knot Ottoman combines exceptional comfort with striking visual appeal. Its unique sculptural design serves as both functional seating and an eye-catching conversation piece that transforms any space. Perfect for extra seating or filling that tricky spot in your home, this versatile piece effortlessly blends form and function. Your guests won't be able to ignore its artistic beauty and inviting comfort—making it an unforgettable addition to any room.</p>"	active	(L) Mauve Knot Ottoman	shopify_US_8483242967195_46361265373339	home & garden > decor > ottoman cushions	Large knot cushion	This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun				knots studio	in stock	698.00 USD	625.00 USD	US	https://cdn.shopify.com/s/files/1/1129/5340/files/2V8A7555.jpgLL.jpg?v=1754772485	third party shopify:third party syncing		21	8 kg	10030Mve
